,company_name,dba_name,owner_first,owner_last,location,location_city,location_state,zip_code,mailing_address,mailing_city,mailing_state,mailing_zip,certification_type,capability,local,out_of_state,location_standard,lat,lng,geometry,in_philly_msa,match_probability,DR_ACCT,CR_ACCT,CURR_PRIOR_FLAG,POSTED_DATE,DEPT,SEC_FD,INDEX,PROGRAM_CD,MAJ_CLASS,CLASS,DOC_NUM,TRANS_DESC,DOC_REF_NUM,VEND_NAME,VEND_NUM,DOC_NUM4,DOC_REF4,TOTAL_AMT
37,"Counter Technology, Inc.",CTI Consulting,Santos,Garza,"9711 Washingtonian Blvd., Ste. 550",Gaithersburg,MD,20878.0,"9711 Washingtonian Blvd., Ste. 550, #550",Gaithersburg,MD,20878.0,MWBE,Computer Systems Design and Related Services ; Computer Systems Design Services ; Other Management Consulting Services ; Other Scientific and Technical Consulting Services ; Security Systems Services (except Locksmiths) ; All Other Miscellaneous Schools and Instruction,False,True,,39.1118309998288,-77.19149250024441,POINT (-77.19149250024441 39.1118309998288),False,0.8335154737868609,431.0,201.0,CURR,2018-11-19,44.0,10.0,440097.0,,2.0,0250,PVXX1900509901,*7488543* SEP18 4601 MARKET STREET,,fti consulting,521261113 03,PVXX,,53772.21
38,"Craft Oil Services, LLC",,Maureen,Mangan Mills,837 Cherry Street,Avoca,PA,18641.0,837 Cherry Street,Avoca,PA,18641.0,WBE,"Lubricating oils and greases merchant wholesalers (except bulk stations, terminals) ;  ;    ;  ; ; ",False,False,,41.3381479445206,-75.7427848646742,POINT (-75.74278486467421 41.3381479445206),False,1.0,433.0,201.0,PRIOR,2018-08-08,25.0,10.0,252100.0,,3.0,0307,VCXX1900302701,*10599195*               JUN18 SHOP 159,POXX1811636701,craft oil,240812653 01,VCXX,POXX,7675.0
39,Davis Packaging and Printing Services,,Edward,Davis,"Davis Packaging and Printing Services, PO Box 1434",Kulpsville,PA,19443.0,"Davis Packaging and Printing Services, PO Box 1434",Kulpsville,PA,19443.0,MBE,"Paperboard (e.g., can/drum stock, container board, corrugating medium, folding carton stock, linerboard, tube) manufacturing  ; Shipping containers made from purchased paperboard  ; Cartons, folding (except milk), made from purchased paperboard  ; Printing and Related Support Activities  ; Advertising materials (e.g., coupons, flyers) lithographic (offset) printing without publishing (deactivated in 2012 codeset)  ; Cards (e.g., business, greeting, playing, postcards, trading) lithographic (offset) printing without publishing (deactivated in 2012 codeset)  ; Technical magazines and periodicals lithographic (offset) printing without publishing (deactivated in 2012 codeset)  ; Thermoform, blister, and skin packaging machinery manufacturing  ; Packaging and Labeling Services  ; ",False,False,,40.2451016300928,-75.3376189204304,POINT (-75.3376189204304 40.2451016300928),True,0.8617172554758824,431.0,201.0,CURR,2019-05-24,23.0,10.0,230291.0,,3.0,0318,VCXX1908538801,*200519*                 200519/BOXES/05/19,POXX1911922401,davis packaging printing,464695486 01,VCXX,POXX,42665.86
40,DECCAN INTERNATIONAL,,Latha,Nagaraj,5935 CORNERSTONE COURT WEST,San Diego,CA,92121.0,5935 CORNERSTONE COURT WEST,San Diego,CA,92121.0,MWBE,"Data Processing, Hosting, and Related Services; Computer programming services, custom; Other Management Consulting Services",False,True,,32.8955066198536,-117.19086405656,POINT (-117.19086405656 32.8955066198536),False,1.0,433.0,201.0,PRIOR,2019-02-11,4.0,10.0,40454.0,,2.0,0250,PVMD1901298401,*2663* ADAM SPECIAL PROJECT JAN18,MDXX1800073001,deccan international,330864002 01,PVMD,MDXX,139015.8
41,"Duffield Associates, Inc.",,Stacy,Ziegler,5400 Limestone Rd.,Wilmington,DE,19808.0,5400 Limestone Rd.,Wilmington,DE,19808.0,WBE,Engineering services; Computer-aided design drafting (CADD) services; Geotechnical testing laboratories or services; Environmental consulting services; Environmental remediation services,False,True,,39.7459260001259,-75.7006470003472,POINT (-75.7006470003472 39.7459260001259),True,1.0,433.0,201.0,PRIOR,2018-07-11,20.0,10.0,209797.0,,2.0,0250,PVMD1802206703,"#REQ871420571# WO  330, 335, 337, 339 MAY 18",MDXX1800024801,duffield,510202432 01,PVMD,MDXX,99575.44000000002
42,"EBA Engineering, Inc.",,Harish,Patel,"6100 Chevy Chase Drive, Suite 200",Laurel,MD,20707.0,"6100 Chevy Chase Drive, Suite 200",Laurel,MD,20707.0,MBE,"Construction management, industrial building (except warehouses) ; Addition, alteration and renovation, commercial and institutional building ; Construction management, water and sewer line ; Highway, Street, and Bridge Construction ; Construction management, marine structure ; Consulting engineers' offices ; Engineering consulting services ; Drafting services ; Geospatial mapping services ; Surveying and Mapping (except Geophysical) Services; Geotechnical testing laboratories or services ; Custom Computer Programming Services ; Utilities management consulting services ; Environmental consulting services ; Facilities Support Services ; Remediation Services; Addition, alteration and renovation, for-sale builders, industrial building (except warehouses); Addition, alteration and renovation, for-sale builders, commercial and institutional building; Construction management, mass transit; Computer-aided design drafting (CADD) services",False,True,,39.0951630001281,-76.9024169998923,POINT (-76.9024169998923 39.0951630001281),False,1.0,433.0,201.0,PRIOR,2019-03-08,4.0,10.0,40454.0,,2.0,0251,PVMD1901467501,*433100008* YEAR-2 MAINT 2/22/18-2/21/19 FEB19,MDXX1800129101,eba engineering,521242613 02,PVMD,MDXX,294351.9
43,eClinical Works LLC,,Stephanie,Looney,"112 Turnpike Road, Suite 200",Westborough,MA,1581.0,"112 Turnpike Road, Suite 200",Westborough,MA,1581.0,MBE,4234	Professional and Commercial Equipment and Supplies Merchant Wholesalers ; 5415	Computer Systems Design and Related Services ; 5614	Business Support Services; ,False,True,,42.2834580002766,-71.60328899996759,POINT (-71.60328899996759 42.2834580002766),False,1.0,433.0,201.0,PRIOR,2019-05-20,23.0,10.0,231007.0,,2.0,0251,PVMD1901760401,*0001618479IN*,MDXX1600057701,eclinical works,043461392 01,PVMD,MDXX,459405.08
44,"Elegant Enterprise-Wide Solutions, Inc.",,VIKAS,ARORA,25961 Hart Wood Drive,Chantilly,VA,20152.0,25961 Hart Wood Drive,Chantilly,VA,20152.0,MBE,"Data Processing, Hosting and Related Services; Applications software programming services, customer computer; Custom Computer Programming Services; Computer Systems Design Services; Systems integration design consulting services, computer; Other Computer Related Services; Office Administrative Services; Temporary help services; Data processing services (except payroll services, financial transaction processing services); Computer systems integration analysis and design services; Other Scientific and Technical Consulting Services",False,True,,38.898327615602796,-77.49305793466,POINT (-77.49305793466 38.8983276156028),False,1.0,433.0,201.0,PRIOR,2018-08-16,4.0,10.0,41002.0,,2.0,0251,PVMD1900239401,*PH204* MERCHAN 6/1/18-6/15/18 JUN18,MDXX1800129701,elegant wide solutions,364468087 01,PVMD,MDXX,46627.0
45,Felder & Associates Investigations,J & S Cleaning & Maintenance Services ( Felder Services),Ronald,Felder,1700 Market Street Suite 1005,Philadelphia,PA,19110.0,1700 Market Street Suite 1005,Philadelphia,PA,19110.0,MBE,"561612: Patrol services, security; 561612: Personal protection services (except security systems services); 56172: Janitorial Services; 561720: Building cleaning services, janitorial; 561740: Carpet cleaning services",True,False,1700 MARKET ST,39.95269644052653,-75.16921654176166,POINT (-75.16921654176166 39.95269644052653),True,1.0,431.0,201.0,CURR,2018-09-07,10.0,10.0,102750.0,,2.0,0253,PVAT1900228301,"00010501213I00000179-0JONES,KEISHA",,felder investigations,461442663 01,PVAT,,9249.9
46,"Five Thousand Forms, Inc.",,Linda,Levy,8020 Mine Street,Fogelsville,PA,18051.0,8020 Mine Street,Fogelsville,PA,18051.0,WBE,"Desk accessories, office, merchant wholesalers; Backpacks, textile, merchant wholesalers; Direct mail advertising services; Other Services Related to Advertising",False,False,,40.5793080000817,-75.63042000016699,POINT (-75.63042000016699 40.5793080000817),False,1.0,431.0,201.0,CURR,2019-02-01,36.0,10.0,360512.0,,2.0,0210,PVXX1900752201,*I775931* NOV18 POSTAGE FOR CERT DELINQ RE MAILING,,five thousand forms,231863312 01,PVXX,,70024.07
47,Food By Barg/Day by Day Enterprises,,Robin,Barg,2101 Sansom Street,Philadelphia,PA,19103.0,2101 Sansom Street,Philadelphia,PA,19103.0,WBE,7223: Special Food Services  ; ; ,True,False,2101 SANSOM ST,39.95155040802848,-75.17562692335214,POINT (-75.17562692335214 39.95155040802848),True,0.8073609052887993,431.0,201.0,CURR,2019-04-09,58.0,10.0,580001.0,,2.0,0230,PVXX1900995501,*542909*PHILLYCELEBRATESJAZZOACCEMARCH2019,,day by day,232552490 01,PVXX,,2168.25
48,"FutureNET, Inc.",,Noel,Lowe,"4548 Market Street, Room M-18",Philadelphia,PA,19139.0,"4548 Market Street, Room M-18",Philadelphia,PA,19139.0,MBE,54151: Computer Systems Design and Related Services,True,False,4548 MARKET ST,39.95804317945801,-75.21265505102038,POINT (-75.21265505102038 39.95804317945801),True,1.0,433.0,201.0,PRIOR,2019-03-21,22.0,10.0,226280.0,,2.0,0251,PVMD1901543002,#FA033118#MAR18 BUSINESS ANALYST,MDXX1800081702,futurenet,232950460 01,PVMD,MDXX,1266706.15
49,"Garden State Highway Products, Inc.",,Sharon L.,Green,301 Riverside Drive,Millville,NJ,8332.0,301 Riverside Drive,Millville,NJ,8332.0,WBE,"339950: Sign Manufacturing ; 423990: General merchandise, durable goods, merchant wholesalers  ; 541890: Sign lettering and painting services  ; 561990: Flagging (i.e., traffic control) services  ; ",False,True,,39.3918455126921,-75.0435815154194,POINT (-75.0435815154194 39.3918455126921),False,1.0,433.0,201.0,PRIOR,2018-11-29,11.0,10.0,111137.0,,3.0,0312,VCXX1903806601,*127262*                 TRAFFIC CONE 1/9/18,POXX1810262301,garden state highway products,222824726 01,VCXX,POXX,224275.71000000002
50,Gear One Enterprise Inc.,,Donna R,Barnes,1031 CALLE RECODO #A,San Clemente,CA,92673.0,1031 CALLE RECODO #A,San Clemente,CA,92673.0,WBE,"Bank equipment merchant wholesalers; Computer and Computer Peripheral Equipment and Software Merchant Wholesalers; Analytical instruments (e.g., chromatographic, photometers, spectrographs) merchant wholesalers; Computer Facilities Management Services; Other Computer Related Services; Consumer Electronics Repair and Maintenance; Computer and Office Machine Repair and Maintenance",False,True,,33.4533491481423,-117.597638222318,POINT (-117.597638222318 33.4533491481423),False,1.0,431.0,201.0,CURR,2018-12-27,52.0,10.0,520346.0,,2.0,0216,VCXX1904522801,*5059*                   COMPUTER SUPPORT NOV18,POXX1910957901,gear one,454661520 01,VCXX,POXX,17300.26
51,General Fire Equipment Co. Inc.,,Mary,Mcdonnell,220 Broadway Avenue,Aston,PA,19014.0,220 Broadway Ave,Aston,PA,19014.0,WBE,"Fire extinguishers merchant wholesalers; Alarm system (e.g., fire, burglar), electric, installation only; Fire sprinkler system installation; Fire extinguisher chemical preparations manufacturing; Fire detector systems, nonelectric, manufacturing; Fire extinguisher sales combined with rental and/or service, merchant wholesalers; Fire alarm monitoring services; Fire alarm sales combined with installation, repair, or monitoring services; Fire Protection; ",False,False,,39.8400643005142,-75.4219205717686,POINT (-75.4219205717686 39.8400643005142),True,1.0,431.0,201.0,CURR,2019-03-13,4.0,10.0,40315.0,,2.0,0260,PVXX1900878501,*0051217IN* LABOR ONLY QUOTE DEC18,,general fire equipment,232023671 01,PVXX,,1976.58
52,GENERAL HIGHWAY PRODUCTS INCORPORATED,,Lisa,Deady,878 SUSSEX BOULEVARD,Broomall,PA,19008.0,"PO BOX 596, 878 SUSSEX BOULEVARD",Broomall,PA,19008.0,WBE,"334290: Other Communications Equipment Manufacturing ; 423610: Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers; ",False,False,,39.957956452573704,-75.33671103898679,POINT (-75.33671103898679 39.9579564525737),True,1.0,431.0,201.0,CURR,2019-06-06,12.0,10.0,120894.0,,2.0,0250,VCXX1908782401,*019524*                 MAY19  SMALL ORDER CLASS,POXX1911401101,general highway products,232111327 01,VCXX,POXX,74750.0
53,"Genevieve's Catering, LLC",,Genevieve,Jones,432 Robbins St.,Philadelphia,PA,19111.0,432 Robbins St.,Philadelphia,PA,19111.0,MWBE,Banquet halls with catering staff,True,False,432 ROBBINS ST,40.04947806339132,-75.09934371546719,POINT (-75.09934371546719 40.04947806339132),True,1.0,431.0,201.0,CURR,2019-06-03,25.0,10.0,252100.0,,2.0,0230,VCXX1908645901,*1018*                   MAY19 SHOP 415,POXX1911837601,genevieve s catering,475329215 01,VCXX,POXX,1271.0
54,"Geppert Bros., Inc.",,Mary Patricia,Geppert,3101 Trewigtown Road,Colmar,PA,18915.0,P.O. Box 81,Colmar,PA,18915.0,WBE,"Blasting, building demolition; Building demolition; Demolition contractor; Demolition, building and structure; Hydrodemolition (i.e., demolition with pressurized water) contractors; Concrete sawing and drilling (except demolition); Mine reclamation services, integrated (e.g., demolition, hazardous material removal, soil remediation, revegetation)",False,False,,40.2784101239547,-75.2594610162035,POINT (-75.2594610162035 40.2784101239547),True,0.8455420069788367,431.0,201.0,CURR,2019-01-11,26.0,10.0,264762.0,,2.0,0262,VCXX1904919601,*118172*                 2067 BENNETT RD JAN19,DOXX1910025801,geppert brothers,231574094 01,VCXX,DOXX,16416.18
55,Giddens Commercial Cleaning Service LLC,,Tabitha,Giddens,8612 Bayard Street,Philadelphia,PA,19150.0,po box 1015,Glenside,PA,19038.0,MBE,20210: JANITORIAL SVC-GENERAL; 5617: Services to Buildings and Dwellings; ,True,False,8612 BAYARD ST,40.08199015435236,-75.17706815045088,POINT (-75.17706815045088 40.08199015435236),True,0.8514360538314715,433.0,201.0,PRIOR,2018-07-13,26.0,10.0,268006.0,,2.0,0202,VCXX1900254802,#INV2005#                JUNE JANITORIAL SVS JUN18,POXX1812180502,giddens commercial,273258590 01,VCXX,POXX,19318.1
56,"Global Arena, LLC",,Carlos,Humphrey,"230 South Broad Street, Suite 704",Philadelphia,PA,19102.0,"230 South Broad Street, Suite 704",Philadelphia,PA,19102.0,MBE,"5419: Other Professional, Scientific, and Technical Services; 6114: Business Schools and Computer and Management Training; 6115: Technical and Trade Schools; 6116: Other Schools and Instruction; 6243: Vocational Rehabilitation Services; 8129: Other Personal Services; ",True,False,230 S BROAD ST,39.948420490008395,-75.16507385496281,POINT (-75.16507385496281 39.9484204900084),True,1.0,431.0,201.0,CURR,2019-01-30,36.0,10.0,360512.0,,2.0,0250,PVMD1901208201,*51412* MAY18 ONLINE LANGUAGE PROFICIENCY TESTS,MDXX1900108001,global arena,020713959 02,PVMD,MDXX,315.0
57,"GLOBO Language Solutions, LLC",,MATTHEW,SCHUH,145 Greenwood Ave,Wyncote,PA,19095.0,"145 Greenwood Ave, Suite 400",Wyncote,PA,19095.0,MBE,Translation and Interpretation Services,False,False,,40.0917252532624,-75.1410035510639,POINT (-75.1410035510639 40.0917252532624),True,1.0,431.0,201.0,CURR,2018-10-30,1.0,10.0,10058.0,,2.0,0250,PVMD1900662401,*ONCOP063018CC* LANGUAGE SVS OCT 2018,MDXX1900089901,globo language solutions,272896376 01,PVMD,MDXX,134114.46999999997
58,"HEALTH, EDUCATION & RESEARCH ASSOCIATES, INC","HERA, INC",Laurie,Sperling,411 North Tenth St. S. 400,St. Louis,MO,63101.0,411 North Tenth St. S. 400,St. Louis,MO,63101.0,WBE,"Architectural (except landscape) design services  ; Other Specialized Design Services  ; Biological consulting services  ; Appraisal (except real estate) ; Architectural (except landscape) consultants' offices; Architect associations; Interior design services; Process, Physical Distribution, and Logistics Consulting Services; Other Scientific and Technical Consulting Services; Architects' (except landscape) offices; ",False,True,,38.6235771148396,-90.1969024916408,POINT (-90.1969024916408 38.6235771148396),False,0.8858486502534964,433.0,201.0,PRIOR,2018-11-05,14.0,10.0,143758.0,,2.0,0250,PVMD1900702501,*000000000003* SERVICES FROM 6/16/18 TO 7/26/18,MPXX1800034201,health education research assoc,200820473 01,PVMD,MPXX,109248.05
59,"Horsey, Buckner & Heffler, LLP",,Kia,Buckner,"1515 Market Street, 17 Floor",Philadelphia,PA,19102.0,"1515 Market Street, 17 Floor",Philadelphia,PA,19102.0,MBE,"Accountants' (i.e., CPAs) offices, certified public",True,False,1515 MARKET ST,39.95301764134604,-75.16601518730515,POINT (-75.16601518730515 39.95301764134604),True,1.0,431.0,201.0,CURR,2019-03-26,40.0,10.0,400085.0,,2.0,0250,PVMD1901591101,*520531* PROFESSIONAL SERVICE 2/6/19-2/14/19 FEB19,MDXX1900013401,horsey buckner heffler llp,821803066 01,PVMD,MDXX,406202.5
60,"IMPRINTS UNLIMITED, INC.",,Jimmy,Sams,"4950 Parkside Ave., Suite 400",Philadelphia,PA,19131.0,"4950 Parkside Ave., Suite 400",Philadelphia,PA,19131.0,MBE,"323119 Commercial printing (except flexographic, digital, gravure, lithographic, quick, screen); 323119 Other Commercial Printing",True,False,4950 PARKSIDE AVE,39.97971370213181,-75.21869674301045,POINT (-75.21869674301045 39.97971370213181),True,1.0,431.0,201.0,CURR,2019-03-05,49.0,10.0,490001.0,,3.0,0325,VCXX1906356301,*15670*                  JAN2019,POXX1911193001,imprints unlimited,232604644 01,VCXX,POXX,13875.0
61,Industrial Commercial Cleaning Group Inc.,ICCG Inc.,Kim,Epps-Jordan,14 SOUTH BURNT MILL ROAD,Voorhees,NJ,8043.0,14 SOUTH BURNT MILL ROAD,Voorhees,NJ,8043.0,MWBE,"2383: Building Finishing Contractors; 3256: Soap, Cleaning Compound and Toilet Preparation Manufacturing; 5617: Services to Buildings and Dwellings; 561720: Janitorial services; 561730: Landscaping Services; 562111: Solid Waste Collection",False,True,,39.8585590408425,-75.00716094009059,POINT (-75.00716094009059 39.8585590408425),True,1.0,433.0,201.0,PRIOR,2018-09-13,11.0,10.0,111139.0,,2.0,0202,VCXX1901691001,*40297*                  CLEANING SILO 6/30/18,POXX1811203001,industrial commercial cleaning,223315576 01,VCXX,POXX,211861.33
62,"Integrating Factors, Inc.",,Kumar,Prashant,12 N Longfellow Drive,Princeton Jct,NJ,8550.0,12 N Longfellow Drive,Princeton Jct,NJ,8550.0,MBE,"5112: Software Publishers; 5413: Architectural, Engineering and Related Services; 5416: Management, Scientific and Technical Consulting Services",False,True,,40.27651716652311,-74.60682852855659,POINT (-74.60682852855659 40.27651716652311),False,1.0,431.0,201.0,CURR,2019-06-05,22.0,10.0,222588.0,,2.0,0251,PVMD1902064002,#COP201904#APR19 STAFF AUGMENTATION,MDXX1900031602,integrating factors,201282690 01,PVMD,MDXX,59987.02
63,Interboro Packaging Corp.,,Edith,Jeremias,114 Bracken Road,Montgomery,NY,12549.0,114 Bracken Road,Montgomery,NY,12549.0,WBE,PLASTIC BAGS; ,False,True,,41.521609980398296,-74.19840706457029,POINT (-74.19840706457029 41.5216099803983),False,1.0,431.0,201.0,CURR,2019-03-06,52.0,10.0,520350.0,,3.0,0318,VCXX1906372901,*61310*                  TRASH BAGS JAN19,POXX1910355401,interboro packaging,112633541 01,VCXX,POXX,1979.0
64,"IRIS Ltd., Inc",The IRIS Companies,Lindsay,Schwegmann,901 Park Road,Fleetwood,PA,19522.0,901 Park Road,Fleetwood,PA,19522.0,WBE,Identity recorders merchant wholesalers,False,False,,40.4445572313848,-75.85549463913141,POINT (-75.85549463913141 40.4445572313848),False,1.0,431.0,201.0,CURR,2018-12-20,73.0,10.0,730093.0,,3.0,0308,VCXX1904156001,*0179223IN*              PROVCARDS NOV 18,POXX1911005601,iris,232174489 01,VCXX,POXX,80872.0
65,J AMBROGI FOOD DISTRIBUTION INC,,KRISTY,AMBROGI,1400 METROPOLITAN AVENUE,Thorofare,NJ,8086.0,1400 METROPOLITAN AVENUE,Thorofare,NJ,8086.0,WBE,Perishable Prepared Food Manufacturing ; Fresh Fruit and Vegetable Merchant Wholesalers,False,True,,39.8293939335094,-75.19903048825141,POINT (-75.19903048825141 39.8293939335094),True,0.98,431.0,201.0,CURR,2019-03-18,22.0,10.0,222075.0,,3.0,0313,VCXX1906658102,#04993385#               FRUIT & PRODUCE 12/13,POXX1910992402,j ambrogi foods distribution,510297646 01,VCXX,POXX,7404.400000000001
66,"Jess Distributors, Inc.",,Barbara,Silver,525 Spring Garden St.,Philadelphia,PA,19123.0,525 Spring Garden St.,Philadelphia,PA,19123.0,WBE,"33712: Household and Institutional Furniture Manufacturing  ; 337121: Upholstered furniture, household-type, custom, manufacturing  ; 337122: Beds, wood dormitory-type, manufacturing ; 337122: Dining room furniture, wood household-type, manufacturing ; 337122: Beds (including cabinet and folding), metal household-type (except hospital), manufacturing ; 33721: Office Furniture (including Fixtures) Manufacturing  ; 337920: Venetian blinds manufacturing  ; 423210: Mattresses merchant wholesalers  ; 423220: Window shades and blinds merchant wholesalers",True,False,525 SPRING GARDEN ST,39.96136288972613,-75.14747935250408,POINT (-75.14747935250408 39.96136288972613),True,1.0,431.0,201.0,CURR,2018-10-29,1.0,10.0,10058.0,,3.0,0320,PVXX1900439401,*10363* BLINDS DISTRICT OFFICE OCT 2018,,jess distributors,232539107 01,PVXX,,3459.0
67,"JUPITER ASSOCIATES, LLC",,Pradeep,Bansal,12 AIKEN CT,Malvern,PA,19355.0,12 AIKEN CT,Malvern,PA,19355.0,MBE,"423990: Other Miscellaneous Durable Goods Merchant Wholesalers ; 424920: Book, Periodical, and Newspaper Merchant Wholesalers ; 511130: Book Publishers ; 541611: Administrative Management and General Management Consulting Services; 541618: Other Management Consulting Services ; 561110: Administrative management services ; 561210: Facilities Support Services ; 561320: Help supply services ; 611420: Computer operator training ; 611710: Educational support services ; 722320: Catering services, social",False,False,,40.049081999859,-75.5378684997372,POINT (-75.5378684997372 40.049081999859),True,1.0,431.0,201.0,CURR,2018-12-04,11.0,10.0,111344.0,,3.0,0304,PVXX1900557101,*181116INV* 11/9/2018,,jupiter,364630138 01,PVXX,,40811.19
68,"LandStudies, Inc.",,Kelly,Gutshall,315 North Street,Lititz,PA,17543.0,315 North Street,Lititz,PA,17543.0,WBE,Landscape architectural services ; Engineering services ; Environmental engineering services ; Drafting services ; Geological surveying services ; Geophysical mapping services ; Surveying and mapping services (except geophysical); Hydrology consulting services; Other Scientific and Technical Consulting Services ; Landscaping services (except planning); Engineering consulting services; Geophysical Surveying and Mapping Services; Surveying and Mapping (except Geophysical) Services; Landscape installation services; Environmental consulting services; Landscaping Services,False,False,,40.1598270001015,-76.2980130000129,POINT (-76.2980130000129 40.1598270001015),False,1.0,431.0,201.0,CURR,2018-12-10,16.0,10.0,160505.0,,2.0,0250,PVMD1900809801,*7919* PARKS NATURAL AREA MAINT JUN-SEP18,MDXX1900042701,landstudies,232618961 01,PVMD,MDXX,79081.25
69,Lawton Associates Inc.,,Mary,Lawton,7167 Ogontz Avenue,Philadelphia,PA,19138.0,7167 Ogontz Avenue,Philadelphia,PA,19138.0,MWBE,Other Accounting Services; Accountants' (except CPAs) offices,True,False,7167 OGONTZ AVE,40.06381339194204,-75.15234813936775,POINT (-75.15234813936775 40.06381339194204),True,1.0,431.0,201.0,CURR,2019-06-12,35.0,10.0,354118.0,,2.0,0250,PVMD1902100702,*190601* RISK MGMT SUPPORT SVCS 6/16/19-6/30/19,MDXX1900001901,lawton,232889451 01,PVMD,MDXX,900000.0
70,"LRW Solutions Group, Inc.",,Eric,Coombs,"175 Strafford Avenue, Suite One, PMB 403",Wayne,PA,19087.0,"731 Gregory Drive, Suite One, PMB 403",Horsham,PA,19044.0,MBE,"51: Information 	 ; 541: Professional, Scientific, and Technical Services; 541611: Administrative Management and General Management Consulting Services",False,False,,40.0457368009934,-75.3984921749854,POINT (-75.39849217498541 40.0457368009934),True,1.0,431.0,201.0,CURR,2019-05-10,31.0,10.0,310607.0,,2.0,0250,PVMD1901842201,*4071*CONSULTING,MDXX1900004801,lrw solutions,201854257 01,PVMD,MDXX,42425.0
71,"Marilyn Nyman Associates, Inc.",The Nyman Group,Marilyn,Nyman,"220 Commerce Drive, Suite 205",Fort Washington,PA,19034.0,"220 Commerce Drive, Suite 205",Fort Washington,PA,19034.0,WBE,541611: General management consulting services ; 541612: Organization development consulting services; 541613: Customer service management consulting services ; 611430: Professional and Management Development Training; ,False,False,,40.1378732313414,-75.2023846744531,POINT (-75.2023846744531 40.1378732313414),True,1.0,433.0,201.0,PRIOR,2018-09-07,12.0,10.0,120945.0,,2.0,0250,PVMD1900350401,JUN18 *5354* WORKSHOP & BOOTCAMP GRADUATION,MDXX1800073901,marilyn nyman,232778187 01,PVMD,MDXX,114962.59
72,Maskar Design Inc,Maskar Design,Kate,Maskar,"1608 Walnut Street, Suite 1502",Philadelphia,PA,19103.0,"1608 Walnut Street, Suite 1502",Philadelphia,PA,19103.0,WBE,"541430: Corporate identification (i.e., logo) design services ; 541430: Graphic design services ; 541511: WEB (i.e., internet) page design services, custom) ; 541820: Public relations consulting services",True,False,1608 WALNUT ST,39.949534846687186,-75.1681304848539,POINT (-75.1681304848539 39.94953484668719),True,1.0,431.0,201.0,CURR,2018-12-20,14.0,10.0,140686.0,,2.0,0250,PVMD1900950101,*10689* DESIGN SERVICES,MPXX1900025601,maskar design,232837990 02,PVMD,MPXX,28120.0
73,MathforUS LLC,,Suganth,Kannan,511 S 41st St. #2F,Philadelphia,PA,19104.0,511 S 41st St. #2F,Philadelphia,PA,19104.0,MBE,Administrative Management and General Management Consulting Services,True,False,511 S 41ST ST,39.949340863696186,-75.205386182987,POINT (-75.205386182987 39.94934086369619),True,1.0,431.0,201.0,CURR,2019-02-08,11.0,10.0,111376.0,,3.0,0312,VCXX1905664301,*1902101*                ACCESSORIES 2/1/19,POXX1911085501,mathforus,464203529 01,VCXX,POXX,35655.11
74,MAXON SUPPLIES LLC,New Jersey Safety Equipment,Stephen,Pachikara,"1829 Underwood Blvd, Suite 8",Delran,NJ,8075.0,"Maxon Supplies LLC, P.O BOX 1229",Delran,NJ,8075.0,MBE,"Industrial safety devices (e.g., eye shields, face shields, first-aid kits) merchant wholesalers; Industrial Supplies Merchant Wholesalers; Janitorial equipment and supplies merchant wholesalers; Signs (except electrical) merchant wholesalers",False,True,,40.018521023575296,-74.959151714016,POINT (-74.959151714016 40.0185210235753),True,1.0,431.0,201.0,CURR,2019-05-08,10.0,10.0,100085.0,,3.0,0308,VCXX1908069501,*65870*                  MARCH2019,POXX1911762101,maxon supplies,471321588 01,VCXX,POXX,3531.4
75,"MEE Productions, Inc.",,Alicia,Jackson,"5070 Parkside Avenue, Suite 3500D",Philadelphia,PA,19131.0,"5070 Parkside Avenue, Suite 3500D",Philadelphia,PA,19131.0,MBE,512110: Video production  ; 519190: All Other Information Services  ; 541430: Graphic design services  ; 541613: Marketing consulting services  ; 541810: Advertising agencies ; 54185: Outdoor Advertising ; 541910: Marketing research services,True,False,5070 PARKSIDE AVE,39.97960771325656,-75.22114796753144,POINT (-75.22114796753144 39.97960771325656),True,1.0,433.0,201.0,PRIOR,2018-07-18,14.0,10.0,140686.0,,2.0,0250,PVMD1900069002,#17202420605#CONTRACT 1720242-06 FOR MAY-JUN 2018,SBXX1800113901,mee productions,232618368 03,PVMD,SBXX,160470.14
76,"MFR Consultants, Inc",,Maria F.,Roberts,"128 CHESTNUT STREET, ATRIUM AT OLDE CITY",Philadelphia,PA,19106.0,"128 CHESTNUT STREET, ATRIUM AT OLDE CITY",Philadelphia,PA,19106.0,MWBE,"Applications software programming services, custom computer; Custom Computer Programming Services; Computer Systems Design Services; Other Computer Related Services; Administrative Management and General Management Consulting Services; Human Resources Consulting Services; Other Management Consulting Services; Research and Development in the Social Sciences and Humanities; Administrative management services; Office Administrative Services; Temporary help services; All Other Business Support Services; All Other Support Services; Professional and Management Development Training; Other General Government Support; Marketing consulting services; Document preparation services",True,False,128 CHESTNUT ST,39.948037143519656,-75.1436873765512,POINT (-75.1436873765512 39.94803714351966),True,1.0,431.0,201.0,CURR,2018-12-20,4.0,10.0,40314.0,,2.0,0251,PVMD1900968601,*PHL1620155NOV2018C* IT STAFF 11/1-11/30/18 NOV18,MDXX1900083501,mfr consultants,232563682 01,PVMD,MDXX,414899.3
